hhid	pid	service	knows_service	used_service	freq_use	daily_msg_call
1270021.0	1	3	1	1	2	1
1270021.0	1	5	1	2		1
1270021.0	1	6	1	2		1
1270021.0	1	7	1	2		1
1270021.0	1	8	1	2		1
1270021.0	1	9	1	2		1
1270021.0	1	10	1	2		1
1270021.0	1	11	1	2		1
1270021.0	1	12	1	2		1
1270072.0	2	1	1	1	1	0
1270072.0	2	2	1	2		0
1270072.0	2	3	1	1	2	0
1270072.0	2	5	1	2		0
1270072.0	2	6	1	2		0
1270072.0	2	11	1	2		0
1272015.0	1	1	1	1	1	0
1272015.0	1	2	1	2		0
1272015.0	1	3	1	1	2	0
1272015.0	1	6	1	2		0
1272015.0	1	8	1	2		0
1272015.0	1	10	1	2		0
1272015.0	1	11	1	2		0
1272015.0	1	12	1	2		0
1272002.0	1	1	1	1	6	3
1272002.0	1	2	1	1	4	3
1272002.0	1	3	1	1	3	3
1272002.0	1	5	1	2		3
1272002.0	1	9	1	2		3
1272002.0	1	11	1	1	1	3
1272002.0	1	12	1	2		3
1272062.0	1	1	1	1	1	0
1272062.0	1	2	1	2		0
1272062.0	1	3	1	2		0
1272062.0	1	5	1	2		0
1272062.0	1	6	1	2		0
1272062.0	1	11	1	2		0
1274003.0	1	1	1	1	1	1
1274003.0	1	2	1	1	4	1
1274003.0	1	3	1	1	1	1
1274003.0	1	4	1	2		1
1274003.0	1	5	1	2		1
1274003.0	1	6	1	2		1
1274003.0	1	7	1	1	1	1
1274003.0	1	8	1	2		1
1274003.0	1	9	1	2		1
1274003.0	1	10	1	2		1
