hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1299088.0	1	1	1		1	1	2	500	1	1	99	2002					
1299134.0	2	1	1		1	2	2	2000	1	1	12	1999					
1300097.0	4	1	1		1	1	2	1000	5	2	99	2000					
1300025.0	2	1	1		2	1	2	1000	4	1	12	2004					
1300046.0	1	1	1		1	1	2	5000	6	1	8	2005					
1300005.0	1	1	1		1	1	2	15000	10	1	99	1999					
1300076.0	1	1	1		1	1	2	1500	999	1	4	2006					
1300015.0	2	1	1		1	1	2	1000	5	1	12	2004					
1300066.0	1	1	1		1	1	2	1400	5	1	11	2003					
1300087.0	1	1	1		1	1	2	1000	4	1	99	9999					
1300036.0	1	1	2	1		1	2	500	5	1	4	2005					
1300056.0	1	1	1		1	2	2	500	5	1	8	2003					
1302023.0	1	1	1		1	1	2	3000	6	1	10	2005					
1302002.0	1	1	1		1	1	2	2100	6	1	6	2002					
1302035.0	1	1	1		1	1	2	1200	2	1	1	2008					
1302010.0	2	1	1		1	1	1	800	2	1	2	2005					
1302004.0	1	3	1		1	1	2	500	7	1	99	9999	7		8		
1302004.0	1	1	1		2	3	1	4000	10	1	1	2002	6				
1302004.0	1	2	1		2	3	2	1000	10	1	1	2002	6				
1302004.0	1	4	1		2	2	2	500	999	1	1	2002	6				
1302004.0	1	5	1		2	2	2	500	5	1	1	2002	6				
1302017.0	1	1	1		1	1	1	1200	999	1	8	2003					
1302029.0	2	1	1		1	1	1	600	3	1	2	2007					
1302053.0	1	1	2	1		1	2	200	2	1	99	2000					
1302041.0	2	1	1		1	1	2	1500	4	1	99	2003					
1302038.0	2	1	1		1	1	2	200	999	1	99	2008					
1303056.0	2	1	1		1	1	2	1500	3	1	99	2003					
1303087.0	1	1	1		1	1	1	650	2	1	99	2005					
1303077.0	2	1	2	1		1	2	3000	2	1	8	2005					
1303026.0	1	1	1		1	1	2	2500	15	1	4	2004					
1303040.0	1	1	1		2	1	2	600	3	1	99	2006	6				
1303040.0	1	2	1		2	1	2	100	1	1	99	2006	6				
1303086.0	2	1	1		1	1	1	800	3	1	3	2006					
1303006.0	2	1	1		1	1	2	600	3	1	8	2007					
1304021.0	2	1	1		1	1	2	500	2	1	99	1999					
1304007.0	3	1	1		2	1	2	600	5	1	12	2007					
1304035.0	1	1	1		1	1	1	3000	5	1	99	2005					
1304033.0	1	1	1		1	1	2	3000	4	2	10	2004					
1304067.0	1	1	1		1	1	2	500	2	1	99	2003					
1304056.0	1	1	1		1	1	2	1500	10	1	2	2005					
1304025.0	1	1	1		1	1	1	9999999	3	1	2	2005					
1304049.0	1	1	1		1	1	1	3000	3	1	99	2003					
1305098.0	1	1	1		1	1	2	1500	3	1	11	2000	6				
1305098.0	1	2	1		1	1	2	250	1	1	11	2000	6				
1305098.0	1	3	1		1	1	2	250	1	1	11	2000	6				
1305074.0	1	1	1		1	1	2	2100	2	1	99	2005					
1305003.0	1	1	1		1	1	2	200	1	1	99	2006					
1305023.0	1	1	1		2	1	2	600	5	1	8	2007	1				
1305023.0	1	2	1		2	2	2	200	1	1	8	2007	1				
1305064.0	1	1	1		1	1	2	9000	20	4	99	2000					
1305024.0	2	1	1		1	1	2	600	5	4	99	2004					
1305084.0	2	1	1		2	1	2	3000	3	2	2	2004					
1305014.0	2	1	1		1	1	2	200	2	1	8	2007					
1308033.0	1	1	1		1	1	2	1500	6	1	8	2003					
1308028.0	1	1	1		1	1	2	1500	5	1	4	2005					
1308011.0	2	1	1		1	1	2	2000	2	1	3	2006					
1308022.0	1	1	1		1	1	2	1506	9	1	1	2004					
1308017.0	1	1	1		1	1	2	2500	10	1	5	2001					
1308006.0	1	1	1		1	1	2	1800	6	1	9	2005					
1308039.0	1	1	1		1	1	2	9999999	3	1	99	2006					
1309008.0	1	1	1		3	1	2	15000	50	1	8	1999	1				
1309008.0	1	2	1		3	2	2	5000	10	1	8	1999	1				
1309040.0	2	1	2	1		1	2	200	2	1	6	2007					
1309027.0	1	1	2	1		1	1	500	4	3	7	2005					
1309035.0	1	1	1		1	1	2	700	4	1	2	2007					
1309029.0	2	1	1		1	1	2	2000	7	1	2	2005					
1309034.0	1	1	1		1	1	1	2000	7	1	1	2005					
1309050.0	1	1	1		1	2	2	3000	10	1	9	2002					
1309014.0	2	1	1		1	1	2	2000	5	1	2	2004					
1309021.0	1	1	1		1	2	2	1500	8	1	2	2004					
1309047.0	1	1	2	1		1	1	100	1	1	3	2007					
1334061.0	3	1	1		1	1	2	2000	5	1	99	2004					
1334079.0	4	1	1		1	1	2	900	10	1	9	2007					
1334069.0	2	1	1		1	1	2	300	3	1	1	2008					
1334045.0	1	1	1		1	1	2	6000	10	1	12	1999					
1334037.0	2	1	2	1		1	2	6000	14	1	99	2003					
1334029.0	1	1	1		1	1	2	5000	9	1	10	2002					
1334006.0	1	1	1		1	1	2	2000	3	1	1	2004					
1334053.0	1	1	1		1	1	2	2000	10	1	8	2006					
1334014.0	1	1	1		1	1	2	5000	10	1	99	2003					
1334063.0	2	1	1		1	1	2	1500	3	1	99	2004	6				
1334063.0	2	2	1		1	1	2	1500	6	1	99	2004	6				
1335042.0	1	1	1		1	1	2	6000	15	1	2	2001					
1335018.0	1	1	1		1	1	2	600	3	1	99	2002					
1335054.0	2	1	2	1		1	2	500	2	1	99	2007					
1335036.0	1	1	1		1	1	2	3100	9	1	6	2007					
1335048.0	1	1	1		1	1	2	1300	4	1	1	2002					
1335060.0	1	1	1		2	1	2	7500	3	3	3	1999	1				
1335060.0	1	2	1		2	2	2	1000	1	1	3	1999	1				
1335030.0	1	1	1		2	1	2	2000	10	1	2	2004	6				
1335030.0	1	2	1		2	1	2	500	2	1	2	2004	6				
1335012.0	3	1	1		1	1	2	2000	7	1	99	2004					
1335024.0	2	1	1		2	1	2	2000	4	1	99	2003	4				
1335024.0	2	2	1		2	1	2	200	1	1	99	2003	4				
1336043.0	1	1	1		2	2	2	300	1	1	99	9999	1				
1336043.0	1	2	1		2	1	1	8060	15	2	99	9999	1				
1336019.0	1	1	1		1	1	2	1600	8	1	3	2002					
1336035.0	1	1	1		1	1	2	2000	10	2	10	2002					
1336051.0	1	1	1		1	1	1	8000	20	1	99	2000					
1336003.0	1	1	1		1	2	2	400	4	1	99	2001					
1336067.0	2	1	1		3	3	1	3000	4	1	7	2000					
1336067.0	2	2	1		3	1	2	800	4	1	7	2000	7		99		
1336067.0	2	3	1		3	2	2	200	999	1	7	2000	7		99		
1336075.0	2	1	1		3	1	1	2500	999	1	2	2001					
1336059.0	2	1	1		1	1	2	5000	10	1	7	2000					
1337015.0	1	1	1		1	1	2	10000	999	1	99	1999					
1337079.0	1	1	1		1	1	2	10000	10	1	99	1998					
1337037.0	1	1	1		2	1	2	6000	6	1	7	2001	1				
1337037.0	1	2	1		2	2	2	1600	2	1	7	2001	1				
1337048.0	1	1	1		3	1	2	9999999	10	1	5	1998	1				
1337048.0	1	2	1		3	2	2	9999999	5	1	5	1998	1				
1337048.0	1	3	1		3	3	2	9999999	20	1	5	1998	1				
1337003.0	2	1	1		2	2	2	2000	5	1	2	1999	1				
1337003.0	2	2	1		2	2	2	1000	6	1	2	1999	1				
1337026.0	1	1	1		2	2	2	3500	8	1	3	2000	1				
1337026.0	1	2	1		2	1	2	1500	3	1	3	2000	1				
1337014.0	1	1	1		2	1	1	3000	8	1	99	2000	1	3			
1337014.0	1	2	1		2	3	1	5000	15	1	99	2000	1	3			
1337103.0	1	1	1		1	1	2	5000	6	1	2	1996					
1337092.0	3	1	1		1	2	2	8000	10	1	7	2001					
1338018.0	4	1	1		1	1	2	500	10	3	99	2003					
1338010.0	4	1	2	1		1	2	300	1	1	99	9999					
1338071.0	1	1	1		1	1	2	1700	4	1	99	9999					
1338003.0	5	1	2	1		1	2	200	1	2	12	2003					
1338070.0	1	1	1		1	1	2	1500	7	1	3	1999					
1338063.0	1	1	1		1	1	2	250	3	1	4	2006					
1338055.0	1	1	1		1	1	2	1000	8	1	5	2006					
1338064.0	1	1	1		1	1	2	2500	10	3	2	2003					
1338040.0	1	1	1		2	1	2	4000	15	1	8	2002	1				
1338040.0	1	2	1		2	2	2	2200	7	1	8	2002	1				
1281013.0	2	1	1		1	1	2	500	4	1	99	2002					
1281035.0	2	1	1		1	1	2	2000	7	1	99	2005					
1281039.0	1	1	1		1	1	2	2000	3	1	9	2002					
1281075.0	1	1	1		3	1	2	1500	6	1	9	2003					
1281078.0	2	1	1		2	1	2	3000	6	1	7	2000	2			6	99
1281078.0	2	2	1		2	1	2	3500	999	1	7	2000	2			6	99
1281024.0	1	1	1		1	1	2	1000	5	1	99	2002	1				
1281024.0	1	2	1		1	2	2	1000	5	1	99	2002	1				
1281056.0	2	1	2	1		1	2	600	10	1	9	2005	1				
1281056.0	2	2	2	1		2	2	120	3	1	9	2005	1				
1281046.0	2	1	1		2	1	2	1000	5	1	7	1998	2			6	99
1281046.0	2	2	1		2	1	2	100	1	1	7	1998	2			6	99
1281067.0	2	1	1		2	1	2	600	8	1	12	1999					
1281003.0	1	1	1		1	1	2	3000	10	1	99	2002					
1348008.0	1	1	1		1	1	2	400	2	1	12	2006					
1348061.0	1	1	1		1	1	2	3000	10	1	11	2004					
1348077.0	2	1	1		1	1	2	1000	3	1	3	2006					
1348021.0	2	1	1		1	1	2	1500	3	1	2	2008					
1348003.0	1	1	1		1	1	2	400	2	1	6	2006					
1348012.0	1	1	1		2	1	2	200	999	1	11	2003	6				
1348012.0	1	2	1		2	1	2	200	999	1	11	2003	6				
1348024.0	1	1	1		1	1	2	1500	3	1	99	2006					
1348058.0	1	1	1		1	1	2	1500	4	1	8	2000					
1348049.0	2	1	1		1	1	2	600	3	1	11	2007					
1348031.0	2	1	1		1	1	2	100	1	1	11	2007					
1351027.0	1	1	1		1	1	2	3000	50	2	9	2000	1	5			
1351027.0	1	2	1		1	2	2	1000	20	1	9	2000	1	5			
